,test_acc
MUTAG,0.7894736842105263
BZR,0.7804878048780488
COX2,0.8297872340425532
DHFR,0.6578947368421053
PTC_MR,0.5428571428571428
AIDS,0.955
NCI1,0.7566909975669099
