,test_acc
MUTAG,0.8947368421052632
BZR,0.8048780487804879
COX2,0.8085106382978723
DHFR,0.7631578947368421
PTC_MR,0.6
AIDS,0.975
NCI1,0.7907542579075426
IMDB-MULTI,0.49333333333333335
IMDB-BINARY,0.72
Letter-high,0.9151785714285714
Letter-med,0.9644444444444444
Letter-low,0.9955555555555555
