,test_acc
MUTAG,0.9473684210526315
BZR,0.7804878048780488
COX2,0.7872340425531915
DHFR,0.7105263157894737
PTC_MR,0.5428571428571428
AIDS,0.985
NCI1,0.7761557177615572
Peking_1,0.5555555555555556
OHSU,0.5
PROTEINS,0.6071428571428571
