,test_acc
MUTAG,0.7894736842105263
BZR,0.8048780487804879
COX2,0.8085106382978723
DHFR,0.6973684210526315
PTC_MR,0.7142857142857143
AIDS,0.98
NCI1,0.7956204379562044
Letter-high,0.9196428571428571
Letter-med,0.9555555555555556
Letter-low,1.0
