,test_acc
MUTAG,0.7894736842105263
BZR,0.8048780487804879
COX2,0.7872340425531915
DHFR,0.6842105263157895
PTC_MR,0.5142857142857142
AIDS,0.985
NCI1,0.7858880778588808
IMDB-MULTI,0.4266666666666667
IMDB-BINARY,0.69
