,test_acc
MUTAG,0.7894736842105263
BZR,0.7804878048780488
COX2,0.723404255319149
DHFR,0.6973684210526315
PTC_MR,0.5714285714285714
AIDS,0.97
NCI1,0.7347931873479319
Peking_1,0.6666666666666666
OHSU,0.25
PROTEINS,0.6517857142857143
IMDB-MULTI,0.3933333333333333
IMDB-BINARY,0.72
